Arrival/Departure,Port,ShipType,Flag,Ship_Name,Owners,Captain,Captain2,Year,Month,Day,Origin,DestinationDecl,Crew,Days Voyage,Itinerary,Arribada,Date_of_Depart_Origin,Source,Genral_notes,Cargo,Molasses,MolassesUnit,Sugar,SugarUnit,Flour,FlourUnites,Hides,HidesUnit,Coffee,CoffeeUnit,Coal,CoalUnit,VAR00007,VAR00008,VAR00009,VAR00010
Arrival,Boston,brig,,Dispatch,,Adams,,1803,1.0,2.0,Savannah,Boston,,,,,,Massachusetts Mercury,,Georgia upland cotton,,,,,,,,,,,,,,,,
Departure,Savannah,ship,,Rufus,,Holland,,1802,12.0,20.0,Savannah,Liverpool,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Hannah,,Twycross,,1803,1.0,3.0,Boston,St. Croix,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,New York,brig,,Polly,,"Kennard, of Portsmouth",,1802,12.0,28.0,Cape Francoise,New York,,40.0,,,,Massachusetts Mercury,,coffee; lumber,,,,,,,,,,,,,,,,
Arrival,Boston,ship,,Polly,,,,1803,1.0,6.0,Martinico,Boston,,,,,,Massachusetts Mercury,"being on shore, but received no damage",24 hhds. high proof rum,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Tarantula,,Taylor,,1803,1.0,8.0,Demerara,Boston,,43.0,St. Thomas,,,Massachusetts Mercury,,sugar; 32 puncheons excellent rum,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Good Intent,,"Rateliss, of Portland",,1803,1.0,8.0,Philadelphia,Boston,,13.0,,,,Massachusetts Mercury,,a few hhds. First quality loaf and lump sugar; a few kegs fresh and new buck wheat meal,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Hazard,,Luce,,1803,1.0,10.0,Alexandria,Boston,,17.0,,,,Massachusetts Mercury,,600 bbls. Alexandria superfine & fine flour; 60 half bbls. Alexandria superfine flour,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Polly,,Appleton,,1803,1.0,10.0,Boston,Martinique,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Hope,,Hewes,,1803,1.0,10.0,Boston,Jamaica,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Plutus,,Adamson,,1803,1.0,10.0,Boston,West-Indies,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Rambler,,Hills,,1803,1.0,10.0,Boston,Lisbon,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Hannah,,Bryant,,1803,1.0,10.0,Boston,Liverpool,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,New York,,,Grace,,Tayler,,1803,1.0,5.0,London,New York,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
