Ship Name,Origin,Declared Destination,Year,Captain,Cargo,Origin Lat,Origin Lon,Dest Lat,Dest Lon
Dispatch,Savannah,Boston,1803,Adams,Georgia upland cotton,32.0790074,-81.0921335,42.3554334,-71.060511
Rufus,Savannah,Liverpool,1802,Holland,,32.0790074,-81.0921335,53.4071991,-2.99168
Hannah,Boston,St. Croix,1803,Twycross,,42.3554334,-71.060511,17.729124,-64.7589156
Polly,Cape Francoise,New York,1802,"Kennard, of Portsmouth",coffee; lumber,19.7595236,-72.2008068,40.7127281,-74.0060152
Polly,Martinico,Boston,1803,,24 hhds. high proof rum,46.1244198,9.2770489,42.3554334,-71.060511
Tarantula,Demerara,Boston,1803,Taylor,sugar; 32 puncheons excellent rum,5.6294891,-58.3937764,42.3554334,-71.060511
Good Intent,Philadelphia,Boston,1803,"Rateliss, of Portland",a few hhds. First quality loaf and lump sugar; a few kegs fresh and new buck wheat meal,39.9527237,-75.1635262,42.3554334,-71.060511
Hazard,Alexandria,Boston,1803,Luce,600 bbls. Alexandria superfine & fine flour; 60 half bbls. Alexandria superfine flour,31.1991806,29.8951716,42.3554334,-71.060511
Polly,Boston,Martinique,1803,Appleton,,42.3554334,-71.060511,14.6113732,-60.9620777
Hope,Boston,Jamaica,1803,Hewes,,42.3554334,-71.060511,18.1850507,-77.3947693
Plutus,Boston,West-Indies,1803,Adamson,,42.3554334,-71.060511,18.4,-75.0
Rambler,Boston,Lisbon,1803,Hills,,42.3554334,-71.060511,38.7077507,-9.1365919
Hannah,Boston,Liverpool,1803,Bryant,,42.3554334,-71.060511,53.4071991,-2.99168
Grace,London,New York,1803,Tayler,,51.5074456,-0.1277653,40.7127281,-74.0060152
Amiable Matilda,Amsterdam,New York,1803,Graham,,52.3730796,4.8924534,40.7127281,-74.0060152
Howard,Portsmouth,Alexandria,1802,Buckford,,50.800031,-1.0906023,31.1991806,29.8951716
Catharine,Barbadoes,Alexandria,1802,Lawrence,,13.1500331,-59.5250305,31.1991806,29.8951716
Sukey & Betsey,Salem,Alexandria,1802,Cook,,42.5195292,-70.8967226,31.1991806,29.8951716
Hannah,Boston,Alexandria,1802,Smith,,42.3554334,-71.060511,31.1991806,29.8951716
William,Portland,Alexandria,1802,Woodbury,,43.6573605,-70.2586618,31.1991806,29.8951716
Harriot,Alexandria,Jamaica,1802,Blunt,,31.1991806,29.8951716,18.1850507,-77.3947693
Maryat,Alexandria,Barbadoes,1802,Muir,,31.1991806,29.8951716,13.1500331,-59.5250305
Hare,Lisbon,New York,1803,,,38.7077507,-9.1365919,40.7127281,-74.0060152
Mary,Amsterdam,New York,1803,,,52.3730796,4.8924534,40.7127281,-74.0060152
Two Brothers,Bourdeaux,New York,1803,,,44.5867879,5.1342966,40.7127281,-74.0060152
Hamden and Sydney,Madeira,Philadelphia,1803,,,32.7517501,-16.9817487,39.9527237,-75.1635262
Julia,St. Croix,Philadelphia,1803,,,17.729124,-64.7589156,39.9527237,-75.1635262
Sally,Trinadad,Philadelphia,1803,,,10.7466905,-61.0840075,39.9527237,-75.1635262
Carlton,Liverpool,Norfolk,1802,,,53.4071991,-2.99168,36.8493695,-76.2899539
Hercules,Bourdeaux,Norfolk,1802,,,44.5867879,5.1342966,36.8493695,-76.2899539
Triton,London,Norfolk,1802,,,51.5074456,-0.1277653,36.8493695,-76.2899539
Young Edward,Bourdeaux,Norfolk,1802,,,44.5867879,5.1342966,36.8493695,-76.2899539
Mary,Cape Francoise,Norfolk,1802,,,19.7595236,-72.2008068,36.8493695,-76.2899539
Hope,Barbadoes,Norfolk,1802,,,13.1500331,-59.5250305,36.8493695,-76.2899539
Betsey and Fanny,Barbadoes,Norfolk,1802,,,13.1500331,-59.5250305,36.8493695,-76.2899539
Mercury,Norfolk,Boston,1802,,,36.8493695,-76.2899539,42.3554334,-71.060511
Eliza,Norfolk,Boston,1802,,,36.8493695,-76.2899539,42.3554334,-71.060511
Favorite,Norfolk,Bourdeaux,1802,,,36.8493695,-76.2899539,44.5867879,5.1342966
Greyhound,Norfolk,Barbadoes,1802,,,36.8493695,-76.2899539,13.1500331,-59.5250305
