"Arrival/Departure","Port","ShipType","Flag","Ship_Name","Owners","Captain","Captain2","Year","Month","Day","Origin","DestinationDecl","Crew","Days Voyage","Itinerary","Arribada","Date_of_Depart_Origin","Source","Genral_notes","Cargo","Molasses","MolassesUnit","Sugar","SugarUnit","Flour","FlourUnites","Hides","HidesUnit","Coffee","CoffeeUnit","Coal","CoalUnit","VAR00007","VAR00008","VAR00009","VAR00010"
"Arrival","Boston","brig",NA,"Dispatch",NA,"Adams",NA,1803,1,2,"Savannah","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,"Georgia upland cotton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Savannah","ship",NA,"Rufus",NA,"Holland",NA,1802,12,20,"Savannah","Liverpool",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","schooner",NA,"Polly",NA,"Manchester",NA,1803,1,2,"Petersburg","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,"Windward Island rum, second and third proof; shrub in hhds., brown sugars in hhds. and bbls., loaf sugars in hhds. and bbls.; a few hhds. Carolina tobacco; crates of assorted Liverpool ware; a few bales woolens; a few boxes checks; a few boxes Bieldfield linens; Irish sheetings; a few thousands bbls. staves; hhds. coffee; copper bolts and spikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","ship",NA,"Ocean",NA,"Emery",NA,1803,1,3,"Isle of France","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury","announced by telegraph, no specific date of arrival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Hannah",NA,"Twycross",NA,1803,1,3,"Boston","St. Croix",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Falmouth",NA,NA,"Two Brothers",NA,"Trueman",NA,1802,11,23,"Boston","Falmouth",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Rouen",NA,NA,"Susan",NA,"Oakford",NA,1802,11,2,"Malaga","Rouen",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Rouen",NA,NA,"Success",NA,"King",NA,1802,10,22,"Rouen","Rouen",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Marseilles",NA,NA,"Patty",NA,NA,NA,1802,10,20,"Norfolk","Marseilles",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York","brig",NA,"Polly",NA,"Kennard, of Portsmouth",NA,1802,12,28,"Cape Francoise","New York",NA,40,NA,NA,NA,"Massachusetts Mercury",NA,"coffee; lumber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
