Location,Latitude,Longitude
Savannah,32.0790074,-81.0921335
Petersburg,37.227928,-77.4019268
Isle of France,-20.1624522,57.5028044
Boston,42.3554334,-71.060511
Malaga,36.7213028,-4.4216366
Rouen,49.4404591,1.0939658
Norfolk,36.8493695,-76.2899539
Cape Francoise,19.7595236,-72.2008068
Marblehead,42.500096,-70.8578253
New York,40.7127281,-74.0060152
Martinico,46.1244198,9.2770489
Batavia,-6.1754049,106.827168
Demerara,5.6294891,-58.3937764
Philadelphia,39.9527237,-75.1635262
Alexandria,44.8349533,8.7450304
London,51.5074456,-0.1277653
Hamburg,53.550341,10.000654
Amsterdam,52.3730796,4.8924534
Portsmouth,50.800031,-1.0906023
Barbadoes,13.1500331,-59.5250305
Salem,44.9391565,-123.033121
St. Vincents,57.0840856,-4.0568098
Portland,45.5202471,-122.674194
Calcutta,22.5726459,88.3638953
Kingston,17.9712148,-76.7928128
Wiscasset,44.0024834,-69.6647753
Lisbon,38.7077507,-9.1365919
Bourdeaux,44.5867879,5.1342966
Cuba,23.0131338,-80.8328748
Madeira,32.7517501,-16.9817487
St. Croix,17.729124,-64.7589156
Trinadad,10.7466905,-61.0840075
Liverpool,53.4071991,-2.99168
Guernsey,49.4622912,-2.5812023
Glasgow,55.861155,-4.2501687
Turks Island,47.5785419,-57.6612829
Tortola,18.4210568,-64.6388325
Grenada,12.1360374,-61.6904045
Anguilla,18.1954947,-63.0750234
Port Republican,41.079712,-85.1411879
Mediterranean,35.0000035,19.9999957
Richmond,37.5385087,-77.43428
Monserrat,39.3576494,-0.6031
Barnstable,41.7016936,-70.3036163
Greenock,55.9473423,-4.7564721
Falmouth,50.1552197,-5.0688262
Cadiz,10.956652,123.3057034
Jamaica,18.1850507,-77.3947693
Poole,50.7179472,-1.981521
Bremen,53.0758196,8.8071646
St. Barts,17.8967693,-62.825598
St. Johns,17.1184569,-61.8448509
Nevis,17.1508813,-62.5852896
Kennebunk,43.384092,-70.545273
Newport,41.4899827,-71.3137707
Bombay,19.054999,72.8692035
Havana,23.135305,-82.3589631
Aux Cayes,50.1652899,-66.3739817
Oporto,41.1494512,-8.6107884
West-Indies,0.5173804,35.2612102
Bilboa,52.6341724,-8.2497335
Virginia,37.1232245,-78.4927721
Bahama,24.7736546,-78.0000547
Baltimore,39.2908816,-76.610759
Exuma,23.9685,-76.1799049
Charleston,32.7884363,-79.9399309
New Bedford,41.6362152,-70.934205
Os[…]end,51.5130289,-0.1373998
St. Thomas,18.3429081,-64.9188997
Bermuda,32.3040273,-64.7563086
Wilmington,39.7459468,-75.546589
Eastward,47.1452616,-122.6225022
Point Petre,43.8394425,-77.1528237
Salo,60.3846716,23.1286377
Tobago,11.2404615,-60.672006
Rotterdam,51.9244424,4.47775
Frenchman's Bay,17.8855986,-77.7654577
Washington,38.8950368,-77.0365427
Dominique,15.4113138,-61.3653618
Halifax,44.648618,-63.5859487
Guadaloupe,26.9095819,-101.4333638
Gibraltar,36.1285933,-5.3474761
Leghorn,42.7902379,10.3402239
New Orleans,29.9759983,-90.0782127
Port Royal,32.3790843,-80.6926069
Nantez,25.653688,-100.1338555
Figuera,41.7624717,1.614954
St. Kitts,17.3156929,-62.7446806
New Hampshire,43.4849133,-71.6553992
Basseterre,17.2960919,-62.722301
Passamaquoddy,45.5511702,-70.5421688
Windsor,42.2858536,-82.9780695
Plymouth,50.3714122,-4.1424451
Honduras,15.2572432,-86.0755145
Newburyport,42.8116592,-70.8719271
Yorktown,37.2356655,-76.5136495
Yarmouth,52.6071742,1.7314845
Canton,40.7985464,-81.3749508
Berbice,52.134524,4.4621041
Alicant,41.8444773,-71.4292134
Bayonne,43.4945144,-1.4736657
Guadalupe,16.2528827,-61.5686855
Salou,41.0768193,1.1440411
Vera Cruz,-22.2212638,-49.8243021
Russia,64.6863136,97.7453061
Vigo,42.2376602,-8.7247205
Trinidad,10.4430243,-61.2613054
Fairfield,39.7886111,-82.6418883
New Haven,41.3082138,-72.9250518
New London,41.3556187,-72.0997804
Gloucester,51.8653705,-2.2458192
Newbern,32.5931884,-87.5327815
Biddeford,43.4925843,-70.4533844
River la Plata,22.9542137,-82.9475167
Barcelona,41.3825802,2.177073
Sumatra,-0.1432942,101.6241024
Padang,-0.9247587,100.3632561
Bridgeport,41.1792695,-73.1887863
Nantucket,41.2727997,-70.0951867
Rappahannock,38.6926326,-78.1495818
Georgetown,6.8137426,-58.1624465
North Western Coast,-32.034888,115.7456628
Duxbury,42.0417695,-70.672259
Coast Brazil,13.520696,-84.7942293
St. Lucia,13.8250489,-60.975036
Edenton,36.057938,-76.6077213
Port Antonia,41.1553013,-78.7343993
Port-Royal,32.3790843,-80.6926069
S[…],47.7981346,13.0464806
St. Martins,52.4769479,-1.8932425
St. Ube,49.1739063,-2.0725778
Montego-Bay,18.4724603,-77.9217357
New Providence,25.1943588,-77.2953297
Providence,41.8239891,-71.4128343
Vienna,48.2083537,16.3725042
Waldoboro,44.095361,-69.3757748
Newbigging,56.5151816,-2.8172128
Martinque,30.3178087,-81.8291307
St. Michaels,35.6611745,-109.0974388
Bristol,51.4538022,-2.5972985
Middletown,41.5623178,-72.6509061
Pacific Ocean,-0.703107,-120.9375
Tercera,16.2127489,-94.976295
Nantz,30.3387573,-95.5129632
Tappahannock,37.9254168,-76.8591362
East River,40.7810159,-73.9239577
St. Andrews,56.3403902,-2.7955844
North Carolina,35.6729639,-79.0392919
Dublin,53.3493795,-6.2605593
Buenos Ayres,-34.6083696,-58.4440583
South-America,-21.0002179,-61.0006565
Cartagena,10.4265566,-75.5441671
Kennebeck,44.9304106,-79.9137337
