Location,Latitude,Longitude
Savannah,32.0790074,-81.0921335
Boston,42.3554334,-71.060511
Norfolk,36.8493695,-76.2899539
Cape Francoise,19.7595236,-72.2008068
New York,40.7127281,-74.0060152
Martinico,46.1244198,9.2770489
Demerara,5.6294891,-58.3937764
Philadelphia,39.9527237,-75.1635262
Alexandria,44.8349533,8.7450304
London,51.4893335,-0.1440551
Antigua,17.1037151,-61.7904505
Amsterdam,52.3730796,4.8924534
Portsmouth,50.800031,-1.0906023
Barbadoes,13.1500331,-59.5250305
Salem,44.9391565,-123.033121
Portland,45.5202471,-122.674194
Lisbon,38.7077507,-9.1365919
Bourdeaux,44.5867879,5.1342966
Madeira,32.7517501,-16.9817487
St. Croix,17.729124,-64.7589156
Trinadad,10.7466905,-61.0840075
Liverpool,53.4071991,-2.99168
Richmond,37.5385087,-77.43428
Greenock,55.9473423,-4.7564721
Cadiz,10.956652,123.3057034
Jamaica,18.1850507,-77.3947693
St. Johns,17.1184569,-61.8448509
Havana,23.135305,-82.3589631
West-Indies,0.5173804,35.2612102
Baltimore,39.2908816,-76.610759
Charleston,32.7884363,-79.9399309
New Bedford,41.6362152,-70.934205
St. Thomas,18.3429081,-64.9188997
Wilmington,39.7459468,-75.546589
Tobago,11.2404615,-60.672006
Rotterdam,51.9244424,4.47775
Halifax,44.648618,-63.5859487
Guadaloupe,26.9095819,-101.4333638
New Orleans,29.9759983,-90.0782127
Windsor,42.2858536,-82.9780695
Plymouth,50.3714122,-4.1424451
Yarmouth,52.6071742,1.7314845
Trinidad,10.4430243,-61.2613054
New Haven,41.3082138,-72.9250518
New London,41.3556187,-72.0997804
Gloucester,51.8653705,-2.2458192
Newbern,32.5931884,-87.5327815
Martinique,14.6113732,-60.9620777
